,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,name,retweet_count,text,tweet_created,tweet_location,user_timezone
5289,569211825218318336,negative,1.0,Cancelled Flight,1.0,Southwest,taylor_nacci,0,@SouthwestAir you just Cancelled Flightled my flight home so you better get me a private jet or something. I need to get home now,2015-02-21 19:07:29,10/5/13,Eastern Time (US & Canada)
9282,570009129579900928,negative,1.0,Flight Attendant Complaints,0.6882,US Airways,jasemccarty,0,@USAirways is anything being done to make Flight Attendants aware of AA member benefits? Embarrassing being argued with. Just happened.,2015-02-23 23:55:41,BTR/DCA/IAD/MSY - etc,Central Time (US & Canada)
9944,569604286369431552,negative,1.0,Customer Service Issue,0.3581,US Airways,therealkellyd,0,@USAirways wasted a day of my vacation after problems with not one but two planes... #waitinginphilly #flight838,2015-02-22 21:06:59,,
9045,570271209822294016,neutral,1.0,,,US Airways,JenRomanoff,0,@USAirways so I can make a reservation,2015-02-24 17:17:06,,Eastern Time (US & Canada)
5508,568937199145783297,neutral,1.0,,,Southwest,stacymichael14,0,@SouthwestAir  traveling 2bwi nMaryland 2morrw any chance the flight being Cancelled Flightled to inclement weather? Any chance can get earlier flight,2015-02-21 00:56:13,,
4413,570265397058002944,negative,1.0,Cancelled Flight,1.0,Southwest,Heavenlychc9,0,@SouthwestAir flight to Atlanta getting Cancelled Flightled and then had to re schedule on the phone for over 1.5 hours with a rep this bumping us,2015-02-24 16:54:00,,
845,570054360505323520,negative,1.0,Customer Service Issue,0.6633,United,real_steve_ward,0,"@united It's taken ~3 weeks for Cust Care to respond to Case #8477733, requesting a refund for wi-fi not working. Where can I get an update?",2015-02-24 02:55:25,Chicago / Orlando / airplanes,Eastern Time (US & Canada)
12601,570092218058346496,negative,0.6705,Cancelled Flight,0.3363,American,uneek1908,0,@AmericanAir there are no more flights via united when I arrive to DFW and my car is parked at IAH 😁,2015-02-24 05:25:51,The Great State of TEXAS,Central Time (US & Canada)
4433,570257719334187008,neutral,1.0,,,Southwest,crook_justin,0,@SouthwestAir and Carol Thrower are passengers. Fort Lauderdale airport.,2015-02-24 16:23:29,Fort Lauderdale,
5406,569138500626292736,neutral,1.0,,,Southwest,dtinnel,0,@SouthwestAir Are we sure flights will not be Cancelled Flighted after 1200 I am trying to make plans in STL,2015-02-21 14:16:07,South Carloina,
12261,570249159179145216,neutral,1.0,,,American,Looluca,0,@AmericanAir now I understand!!,2015-02-24 15:49:28,,Brasilia
3849,568082658741215235,negative,1.0,Customer Service Issue,0.6846,United,SFWWflyfish,0,@united JH: going to process my refund for wifi. its asking for a receipt #? I never received an email- you guys just whacked my credit card,2015-02-18 16:20:34,"Austin, TX",Eastern Time (US & Canada)
639,570234734942523393,negative,0.6501,Customer Service Issue,0.3265,United,christinphillip,0,@united Not sure what you are talking about. She is going on nonstop flights. SNA to SFO and then SFO to EWR.,2015-02-24 14:52:09,"Princeton, NJ",Central Time (US & Canada)
10587,569159165626716160,negative,1.0,Late Flight,1.0,US Airways,therealcab,0,@USAirways now the 3rd issue with the plane is a fuel leak. They will let us know soon what they decide. #getmeoffthisplane #ineedabeer,2015-02-21 15:38:14,,
9769,569672763536842752,negative,0.6444,Customer Service Issue,0.6444,US Airways,beoliu,0,@USAirways I have contacted them but only got an automated response that won't give me the code.,2015-02-23 01:39:05,"Tuscaloosa, Alabama",Central Time (US & Canada)
13384,569876837087580161,positive,1.0,,,American,sfty1intx,0,@AmericanAir  thanks hoping that by wed I can get back to DFW,2015-02-23 15:10:00,,
1285,569852332797775872,neutral,1.0,,,United,D_WaYnE_01,0,@united DM sent as requested. Make sure you follow back so you can DM me back. Thanks,2015-02-23 13:32:38,,
1267,569860371626004480,positive,1.0,,,United,adamdpeterson,0,@United I'd like to thank and recognize Terri P at Dulles for going out of her way to get me back on my Raleigh flight,2015-02-23 14:04:34,syracuse,Eastern Time (US & Canada)
562,570276787063816192,positive,1.0,,,United,LukeGzus,0,@united Thank you for that. Am I able to claim any interim expenses or is the cost of the stuff up on me?,2015-02-24 17:39:15,,
5796,568589732520665089,negative,0.6806,Late Flight,0.6806,Southwest,paindocsteve,0,@SouthwestAir you know I ❤️you but trying my patience - had easier cheaper ways from TPA to PDX but stuck w u. Turned my 3 hrs in MCI to 6,2015-02-20 01:55:30,,Eastern Time (US & Canada)
706,570163662100549634,neutral,0.6904,,0.0,United,LukeGzus,0,@united I've filed the claim but have no way of calling for updates. Is there another way to do this?,2015-02-24 10:09:44,,
2404,569226228152053760,negative,1.0,Customer Service Issue,0.3712,United,TheBarnesology,0,@united why are you charging people to see the freaking flight map? https://t.co/AgPb45v8wt,2015-02-21 20:04:43,"Houston, TX",Central Time (US & Canada)
1902,569527975252766720,neutral,0.667,,0.0,United,YaDurak,0,"@united Out of curiosity, when a flight is arranged, are pilots notified? There are a lot of ""pilots haven't arrived yet"" announcements.",2015-02-22 16:03:45,"Alexandria, VA",
6701,567728698900488192,neutral,1.0,,,Southwest,deantak,0,@SouthwestAir sent,2015-02-17 16:54:04,Silicon Valley,Pacific Time (US & Canada)
9916,569618538924789760,negative,1.0,longlines,0.6624,US Airways,LaceyDGarland,0,@USAirways Everyone on Flight 669 from LAX to RDU enjoyed waiting an hour &amp; a half in baggage claim for their bags just now,2015-02-22 22:03:37,"Goldsboro, NC",Eastern Time (US & Canada)
2742,568925583939375104,negative,0.7118,longlines,0.3667,United,archivelle,0,@united You can bump me up to Group 3 so I won't be forced to check my bag and wait 30+ minutes at LGA.,2015-02-21 00:10:03,New York,
12882,569992708447711232,negative,1.0,Customer Service Issue,0.6858,American,Africanbeauteee,0,@AmericanAir no I will be calling corporate!,2015-02-23 22:50:26,,Quito
1331,569817289874411520,negative,1.0,Customer Service Issue,0.6766,United,youfancygirl,0,"@united changed my last name for my MileagePlus acct on the site in an hour. @BA_USA had me on hold for 20mins, then 5 days &amp; no change yet",2015-02-23 11:13:23,Park Slope,Central Time (US & Canada)
5367,569165102307545088,negative,1.0,Customer Service Issue,0.6848,Southwest,NicolePiering,0,@SouthwestAir Can't DM you because you don't follow me.,2015-02-21 16:01:49,"Long Island, NY",Eastern Time (US & Canada)
2304,569267323330129920,negative,1.0,Customer Service Issue,1.0,United,SmallMol,0,"@united Been on hold on the phone for well over half an hour, waiting to make a reservation change I *wanted* to make online. Help!",2015-02-21 22:48:01,A Californian in London,
1003,569967850670018560,negative,1.0,Flight Attendant Complaints,0.3469,United,cristobalwong,1,@united Apparently they are asking 20 people to off board the plane--how can such a big miscalculation be made?!,2015-02-23 21:11:39,San Francisco Bay Area,
12328,570229222662410240,negative,0.6974,Customer Service Issue,0.3755,American,ChellyChelly,0,"@AmericanAir I'll be sticking with @southwest in the future. No change fees, first bag free, and stellar customer service.",2015-02-24 14:30:15,"Pittsburgh, PA",Eastern Time (US & Canada)
3669,568194744574214144,neutral,1.0,,,United,MikeFromRBLX,0,"@united Alright, thank you. Is there a page that says the routes you have for each aircraft? Specifically the 787.",2015-02-18 23:45:58,roblox.com,Eastern Time (US & Canada)
12145,570276196405125120,negative,1.0,Late Flight,1.0,American,mwecker,0,"@AmericanAir Right. But more than two hours Late Flight, and it seems due to poor communication, which sounded like it was annoying on-plane staff",2015-02-24 17:36:55,"Washington, DC",Eastern Time (US & Canada)
1939,569513498016923648,negative,1.0,Can't Tell,0.6633,United,DanielPaulEller,0,"@united, I don't believe that you do.. http://t.co/7z3GqEBfK2",2015-02-22 15:06:13,Chicago,Central Time (US & Canada)
3210,568594180014014464,negative,0.7141,Late Flight,0.7141,United,J_Okayy,0,"@united so our flight into ORD was delayed because of Air Force One, but the last flight to SBN is at 8:20, 5 mins from now we just landed.",2015-02-20 02:13:11,,Eastern Time (US & Canada)
7559,569531924219191296,negative,1.0,Late Flight,1.0,Delta,karaklenk,0,"@JetBlue it's been 3 hours, why have you not sent the plane from the hangar for flight 1533 at JFK? This is absolutely ridiculous.",2015-02-22 16:19:26,New York,Eastern Time (US & Canada)
10676,568992757169065984,negative,1.0,Customer Service Issue,1.0,US Airways,UnluckyDon,0,"@USAirways Made about 30 calls to USAir today to merge of AAdvantage, Dividend Miles. Each time, says call back Late Flightr. #30timesenough",2015-02-21 04:36:59,"Santa Cruz, CA",
1360,569769624780165120,negative,0.7158,Lost Luggage,0.3579,United,wsachs,0,@united on plane to Newark now. I was checked in as Rebecca Levi. My bag is under her name too.,2015-02-23 08:03:59,New York/New Jersey depends on,Eastern Time (US & Canada)
4522,570070659130220544,positive,1.0,,,Southwest,EDWINKONSEPT,0,@SouthwestAir 👏👏👏 on that Late Flightst ad. Makes me happy to be flying you in a few days. #BETHonors,2015-02-24 04:00:11,"Logan Square, Chi / Austin, TX",Pacific Time (US & Canada)
10087,569540826231152640,negative,1.0,Late Flight,1.0,US Airways,SS8085,0,"@USAirways any updates on Flt 1848, here at the gate and they have no expected time of departure",2015-02-22 16:54:49,"Dallas, Burlington, Boston",Eastern Time (US & Canada)
14182,569657850856919041,negative,1.0,Can't Tell,1.0,American,BioMoneyTrees,0,@AmericanAir you put a sour taste on this customer’s vacation. it was joke watching those “we care thanks for choosing us” videos,2015-02-23 00:39:50,,Eastern Time (US & Canada)
13623,569794574966591489,negative,0.6546,Late Flight,0.6546,American,flemmingerin,0,@AmericanAir hey I got a call saying our flight was rescheduled but I can't get through to anyone to see if you're providing a hotel for the,2015-02-23 09:43:07,San Diego,
9509,569899102198206464,negative,1.0,Bad Flight,0.3621,US Airways,daknadler,0,@USAirways : Premier provider of missed connections! #usairwaysfail,2015-02-23 16:38:28,Jacksonville,Eastern Time (US & Canada)
5988,568443742610305024,neutral,0.6313,,,Southwest,toscanoraul,0,@SouthwestAir please please please choose me to go see @Imaginedragons   #DestinationDragons,2015-02-19 16:15:24,,Pacific Time (US & Canada)
3418,568457483301339136,negative,1.0,Lost Luggage,0.3445,United,DMSHIPMAN915,0,@united messaged you as requested- and called your baggage team again. It's STILL in Newark. please help or let me know next steps!!,2015-02-19 17:10:00,Germany,
13356,569883077289181184,negative,1.0,Customer Service Issue,1.0,American,takingthekids,0,@AmericanAir can't get thru to anyone on phone,2015-02-23 15:34:48,New England ,Quito
11246,568361346464497664,negative,1.0,Flight Booking Problems,0.6444,US Airways,TomFutureforall,0,@USAirways new problem...had wrong last name on reservation which is airways fixed. New can't get through TSA,2015-02-19 10:47:59,,
12255,570250470289068032,negative,1.0,Customer Service Issue,1.0,American,blueswingpark,0,"@AmericanAir stop sending me back to ""customer relations ""I have hand written a letter to them, send in a letter, called them, no help!!",2015-02-24 15:54:41,san francisco califorania,Pacific Time (US & Canada)
4232,567765379653849091,negative,1.0,Can't Tell,0.7077,United,elliotg9,0,@united which is why my next flights to Miami will be on another airline.,2015-02-17 19:19:49,,
2710,568947542899052544,positive,1.0,,,United,mrp,0,@united I just received notification of in-flight Wi-Fi for UA863 from @flySFO to @SydneyAirport. Amazing!,2015-02-21 01:37:19,sf - austin - sydney,Alaska
6148,568180868126150656,positive,0.6970000000000001,,,Southwest,3b80af5c98854be,0,@SouthwestAir @Imaginedragons @beatsmusic I'd love to hear them live at @VelourLive @velourlive this saturday! #destinationdragons,2015-02-18 22:50:49,,
5542,568910702070534144,neutral,0.682,,0.0,Southwest,FuyukaiDesuYo,0,@SouthwestAir I would sell my nonexistent soul to go see #DestinationDragons,2015-02-20 23:10:55,,
742,570106249024446464,neutral,0.6759999999999999,,0.0,United,fairplay500,0,"@united I send you an urgent message via eservice@united.com.  BG0KWM   Narayanan. Please respond ASAP. Also, NO local United Tel # @ KUL",2015-02-24 06:21:36,Huntsville AL USA,Central Time (US & Canada)
7037,569948710370717696,negative,0.6503,Can't Tell,0.6503,Delta,GRIFFthePIFF,0,This shits gotta stop RT @JetBlue: Our fleet's on fleek. http://t.co/PEQ90pqMpp,2015-02-23 19:55:36,"Poughkeepsie,NY-Manayunk,PA",Quito
11430,568119831519739904,negative,1.0,Late Flight,1.0,US Airways,travelersally,0,@scm1133 @USAirways we hate delays!! have you tried any of these?! http://t.co/7STktJXAN1 (although we're not sure what a timbit is...),2015-02-18 18:48:17,Atlanta,Eastern Time (US & Canada)
2387,569233434423353344,neutral,0.3444,,0.0,United,c4pyro,0,@united Home is Calgary can you get us there without the added expense of accommodations and meals.,2015-02-21 20:33:21,,
8291,568527764812374016,neutral,0.6723,,0.0,Delta,beantoon,0,@JetBlue what is the Mosiac 800 #?,2015-02-19 21:49:16,"Plymouth,  MA",
9474,569917692758630400,negative,1.0,Customer Service Issue,1.0,US Airways,UrbanPranaYoga,0,@USAirways how do I get a hold of customer service? I've called multiple times &amp; have been on hold for 30+ mins only to have to hang up,2015-02-23 17:52:21,"Pittsburgh, PA",
13453,569859218058162176,negative,1.0,Cancelled Flight,0.659,American,HaileyUrban,0,@AmericanAir is there any way you could put me up in a hotel for the night?? If not I'm having to sleep at the airport again tonight.,2015-02-23 13:59:59,,Alaska
5212,569257918815539200,negative,1.0,Customer Service Issue,0.6559999999999999,Southwest,Shugnussy,0,"@SouthwestAir I have sent the DM, should I continue to wait on hold with a rep, or will you be servicing me here?",2015-02-21 22:10:38,"Liberty Lake, WA",Pacific Time (US & Canada)
3911,567987484556013568,neutral,0.6754,,,United,aircargoweek,0,"@united volumes, profit up http://t.co/pKfI9bTtzf #aviation #aircargo http://t.co/BBj6kMTYUl",2015-02-18 10:02:23,"Redhill, UK",London
7879,569122341797691392,negative,1.0,Customer Service Issue,0.6869,Delta,JessBarbalato,0,@jetblue is the website down? Can't print boarding pass,2015-02-21 13:11:54,,Eastern Time (US & Canada)
11139,568482893913333762,negative,1.0,Cancelled Flight,1.0,US Airways,EmmaTyrer,0,@USAirways Cancelled Flightled due to maintenance. The plane was there for 10 hours. Get your shit together because there are a lot of people unhappy.,2015-02-19 18:50:58,"Liverpool, UK",London
4686,569935276346351616,negative,1.0,Late Flight,0.6667,Southwest,ClarkHerrington,0,@SouthwestAir When will the flight resume? I don's see it in the open schedule. :/,2015-02-23 19:02:13,"Baltimore,MD",Central Time (US & Canada)
1260,569863765451255809,negative,1.0,Customer Service Issue,1.0,United,Kris_KAS,0,@united I have been told twice my issue has been resolved and twice it has not been. And when I write an email it bounces?! #worstservice,2015-02-23 14:18:03,New York,
1686,569625419097313282,positive,1.0,,,United,BigJosh797,0,"@united on 2/20 Denver AP, gate B91 (destination Santa Fe), agent Ashley did an amazing job in the face of an angry traveler. Kudos.",2015-02-22 22:30:57,"Houston, Texas",Central Time (US & Canada)
7808,569234639233142784,negative,1.0,Customer Service Issue,0.3532,Delta,BernardLeCroix,0,@JetBlue I guess I have to redo the Flight Booking Problems. Ugh!,2015-02-21 20:38:08,"Providence, RI",Eastern Time (US & Canada)
5718,568781450146787328,negative,1.0,Bad Flight,1.0,Southwest,pjfuller,0,"@southwestair excruciatingly slow internet on SWA flights is now the norm, rather than the exception. Is this being addressed?",2015-02-20 14:37:19,10 Miles South of Nowhere,Central Time (US & Canada)
449,567971610801664000,negative,0.6703,Bad Flight,0.6703,Virgin America,total_janarchy,0,@VirginAmerica Thanks for making my flight from LAX to JFK a nightmare by forcing me to check my carry on bag at the gate. (1),2015-02-18 08:59:19,,Eastern Time (US & Canada)
11483,568077746481586176,neutral,0.6845,,0.0,US Airways,SeanOB19,0,"@USAirways announced that people going to FL via Charlotte would have to go to a different plane &amp; gate, but it was a 'direct flight' #logic",2015-02-18 16:01:03,,Central Time (US & Canada)
4392,570272778840104960,negative,1.0,Can't Tell,1.0,Southwest,NaLeih,0,@SouthwestAir thanks for the apology. Unfortunately i have had one too many bad experiences and will no longer be flying with southwest.,2015-02-24 17:23:20,,
11105,568501242248499201,neutral,0.6596,,,US Airways,TomFutureforall,0,@USAirways US airways csr at Phoenix airport fixed the problem,2015-02-19 20:03:53,,
2777,568903479722246144,negative,1.0,Customer Service Issue,0.3404,United,caseymugar,0,"@united I know. I’m sure you hear it all the time — don’t like the new seats. I’m a small guy, 5’ 6” and I feel the new planes are tight",2015-02-20 22:42:13,"Culver City, CA",Pacific Time (US & Canada)
2042,569440689253158912,negative,1.0,Lost Luggage,1.0,United,MaxAbrahms,1,Thanks @united for writing back. To assist you can return the bag you lost &amp; clean up the feces sprinkled in your bathroom. Too much to ask?,2015-02-22 10:16:54,"Boston, MA",Atlantic Time (Canada)
8126,568760299978948608,neutral,0.6533,,0.0,Delta,gloeb90,0,@JetBlue you guys get rid of the hip hop stations on Sirius XM?,2015-02-20 13:13:17,NY,
10086,569541291467522048,negative,1.0,Late Flight,1.0,US Airways,jacove,0,@USAirways why now just announce delay of 4478 from PVD when you knew captain was already on delayed flight coming in? Frustrating,2015-02-22 16:56:40,,Eastern Time (US & Canada)
3474,568411566233804802,neutral,0.6859,,0.0,United,Stacycole,0,@united I did not.  That's why I am VERY concerned.,2015-02-19 14:07:32,"Wisconsin, ya know",Central Time (US & Canada)
9046,570271160363057154,neutral,0.6749,,0.0,US Airways,JenRomanoff,0,@USAirways I didn't make a reservation yet. It's about changing name on my dividend miles account,2015-02-24 17:16:54,,Eastern Time (US & Canada)
2254,569295556729823232,negative,1.0,Bad Flight,0.6566,United,flyinhoc1,1,@united how come a $27 shuttle bus from LGA to EWR has electrical power outlets but our new Airbus interiors do not? #whyjeff?,2015-02-22 00:40:12,,
11410,568135839814807552,negative,1.0,Can't Tell,0.66,US Airways,raisethebarn,0,@USAirways that wasn’t my Q but thanks. Wondering why you’re the only ones. I disguised yours to not call you out. ;) http://t.co/uH6UwuOSC0,2015-02-18 19:51:54,"Franklin, TN",Central Time (US & Canada)
6702,567728679426326528,negative,1.0,Cancelled Flight,0.6704,Southwest,onestitchshort,0,"@SouthwestAir Flight Cancelled Flightled, reFlight Booking Problems online has not worked, on my second round of hold (3 hrs now). Any other options?",2015-02-17 16:53:59,Texas,Central Time (US & Canada)
704,570165459783450624,negative,0.6635,Lost Luggage,0.6635,United,LukeGzus,0,@united about 3 hours ago. I need to work out if my bag can make it to my hotel here in time or if it will need to go elsewhere.,2015-02-24 10:16:53,,
1328,569824790200111104,neutral,0.6657,,0.0,United,RaffaellaDom,0,@united Any news about the departure of the flight UA51?,2015-02-23 11:43:11,Roma,Rome
1803,569578942543372288,negative,1.0,Late Flight,0.6733,United,particularmolly,0,@united I am appalled at your lack of communication during our awful journey on 2/21 EWR to BOS. 4 hr delays need to be explained better.,2015-02-22 19:26:16,"Boston, MA",London
14072,569670802867556352,negative,1.0,Late Flight,0.6625,American,CantankerousCMF,0,@AmericanAir thanks. Now my carry on that you guys insisted be checked at the gate is missing. Won't be here till Late Flight tomorrow morning.,2015-02-23 01:31:18,North of 146th,Indiana (East)
11602,567893710949588993,negative,1.0,Flight Attendant Complaints,0.6803,US Airways,weezerandburnie,0,@USAirways  really u gave 6 scotch on the rocks to an out of control drunk and would not let my sister change seats when he was grouping her,2015-02-18 03:49:46,Belle MO,
10807,568861255731154944,neutral,0.68,,0.0,US Airways,exilauren,0,"@USAirways sure, just DM'ed you.",2015-02-20 19:54:26,"Washington, DC via Boston",Central Time (US & Canada)
14367,569626787875053568,negative,1.0,Customer Service Issue,1.0,American,KuperMini,0,@AmericanAir @dfwairport  Have been trying to get canx flight resched since noon.  got 2 call backs but call disconnects as soon as I answer,2015-02-22 22:36:24,,
10140,569524522291892226,neutral,0.6735,,0.0,US Airways,dailylaurel,0,@USAirways i ve been told that you get a percentage on every plastic bottle that is sold around yout departure section...turn up the heat,2015-02-22 15:50:02,Bruxelle-Paris-Marseille-(BPM),Athens
1450,569715233549369344,negative,1.0,Flight Attendant Complaints,0.3563,United,jeanvirgile,0,@united yes I did. Terrible service from your courrier,2015-02-23 04:27:51,Brossard,Eastern Time (US & Canada)
2151,569338032572116992,neutral,0.6745,,0.0,United,jackiehoglund,0,@united traveling with 3 young kids!! Chose our original flights for a reason.,2015-02-22 03:28:59,"Boston, MA",Quito
9912,569619668060807169,neutral,1.0,,,US Airways,VictorJDH,0,"@USAirways I saw online you had fee but I was wondering if there was a way to pay for it ahead of time, instead of at the kiosk",2015-02-22 22:08:06,East Lansing,Eastern Time (US & Canada)
3589,568250000028925952,negative,1.0,Lost Luggage,0.3608,United,laboyd99,0,"@united 2 hour flight from FLL to Ewr, 1242, now waiting 1 hour plus for bags, no sign yet. What gives????",2015-02-19 03:25:32,,
7649,569439674294337536,positive,1.0,,,Delta,logantracey,0,@JetBlue Thanks! See you soon!,2015-02-22 10:12:52,new york city,Eastern Time (US & Canada)
4386,570276440874323968,negative,0.6508,Flight Booking Problems,0.3601,Southwest,cheesensausage,0,"@SouthwestAir trying to change my reservation, been on hold for 45 minutes, and can't do it online-was directed to call. Help?",2015-02-24 17:37:53,Eau Claire,
2696,568951601777512448,negative,1.0,Late Flight,1.0,United,LinaSalazar,0,@united thank you for 7 hrs at terminal D in Dulles airport http://t.co/IG2dgctt2M,2015-02-21 01:53:27,Washington DC,Eastern Time (US & Canada)
2729,568931356287365120,negative,1.0,Late Flight,0.6378,United,tjny753,0,@united That was the problem.  We were being told the aircraft was on its way.,2015-02-21 00:33:00,"Elmira, NY",
11275,568248102018285570,negative,1.0,Lost Luggage,1.0,US Airways,DillardJ32,0,@USAirways @AmericanAir 2 trips in a row with missing luggage. Just like last time. I pay for baggage to be transported.,2015-02-19 03:17:59,Anoka MN,Central Time (US & Canada)
941,569999614624927744,positive,0.6741,,0.0,United,aliasboogie,0,@united that's exactly the point. It fits. I'm premier access. Boarding group 2. This was a return ticket. I've been doing this for 15 yrs,2015-02-23 23:17:52,"New York City, NY",Eastern Time (US & Canada)
12200,570264179216510976,neutral,1.0,,,American,dfwairport,0,@AmericanAir You're right. Someone is up to something...,2015-02-24 16:49:09,"DFW Airport, TX",Central Time (US & Canada)
4507,570187432815013888,positive,0.6799,,,Southwest,PhoenixThis,0,@southwestair cool shot of the moon and one of your fleet http://t.co/kl9BAiMES6,2015-02-24 11:44:12,The World is my Country,Central Time (US & Canada)
9270,570013961808187393,negative,1.0,Lost Luggage,1.0,US Airways,maggie_randall,1,"@USAirways i have and you have not been able to locate them, its insane. i trust you and PAY you to look after my things and you lost them.",2015-02-24 00:14:53,,Quito
6615,567756963329867776,negative,1.0,Flight Attendant Complaints,0.6585,Southwest,rwcrampton,0,@SouthwestAir Hey SWAir- a very tortured boarding on flight 1971 due to one gate agent having to board assisted folks one at a time.,2015-02-17 18:46:23,Atlanta Georgia,
13821,569709793000210432,negative,0.6748,Customer Service Issue,0.3521,American,darcisays,0,"@AmericanAir Nope, I have not been rebooked.",2015-02-23 04:06:14,Wherevers not gonna get me hit,
5146,569309777567875075,positive,1.0,,,Southwest,PeteGiovine,0,@SouthwestAir I love you Southwest. I accept all your flight attendants and their many talents always! #flySWA,2015-02-22 01:36:42,,Alaska
7448,569602974671990784,negative,1.0,Can't Tell,0.6705,Delta,arthurhasher,0,"@JetBlue You never got my wife to her destination and you expect a $75.00 ""goodwill credit"" will  make everything hunky-dory. You blew it.",2015-02-22 21:01:46,Long Island - Arizona ,
3845,568085949663584256,positive,0.6809,,0.0,United,Raretturner,0,@united no worries Your customer service gets a bad wrap but just spoke w agent who saved me huge amounts of time &amp; apologized for yesterday,2015-02-18 16:33:39,"Washington, DC",Eastern Time (US & Canada)
2443,569204188334264320,negative,1.0,Lost Luggage,1.0,United,Carl_Cochran1,0,@united U BUMS HOW DO U LOSE THE BIGGEST BAG ON THE FLIGHT,2015-02-21 18:37:08,• Lacrosse ||'17|| Football •,Central Time (US & Canada)
6665,567738743491411968,neutral,0.6527,,0.0,Southwest,DaxJeter,0,@SouthwestAir myself and 2 others,2015-02-17 17:33:59,"Nashville,TN",
9900,569623164105433088,negative,1.0,Flight Attendant Complaints,1.0,US Airways,Gregm528,0,"@USAirways @AmericanAir @GMA could not have had a worse airline experience. Rude, unhelpful, got yelled at😳. @JetBlue need your help",2015-02-22 22:22:00,NY,Eastern Time (US & Canada)
7336,569665766628286464,negative,1.0,Late Flight,1.0,Delta,twofishtacos,0,@JetBlue flight 98 DEN to JFK already 2hrs delayed. Any idea how that might change again due to weather forecast etc?,2015-02-23 01:11:17,New York City,Eastern Time (US & Canada)
